accident_id,latitude,longitude,state,zone_name,hour,,light_condition,speed_limit,vehicles_involved,injuries_count,fatalities_count,accident_severity,random_noise_column,weather_dust,weather_fog,weather_hail,weather_overcast,weather_rain,traffic_density_low,traffic_density_medium,road_type_rural road,road_type_state highway,road_type_urban road,cluster,dbscan_cluster,level,Date,Time
a000022,13.186176,77.244244,karnataka,bengaluru-delhi corridor,13,,daylight,100,2,1,0,high,0.7657950287801943,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Low,13-05-2019,Night
a000023,12.983749,77.621892,karnataka,bengaluru,6,,daylight,30,4,0,0,low,-0.37151014,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,Low,28-02-2022,Night
a000024,18.038669,95.874526,various,rural area,21,,darkness - lights lit,80,1,1,0,low,0.2095800391499074,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,24,Low,13-10-2021,Morning
a000025,17.872029,76.707887,rajasthan,visakhapatnam-jaipur corridor,18,,darkness - lights lit,60,2,3,0,low,0.6970057919992887,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,16-08-2018,Night
a000026,19.46483,78.201079,madhya pradesh,hyderabad-bhopal corridor,4,,darkness - lights lit,50,3,1,0,low,0.8557784899328209,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,29-04-2023,Afternoon
a000027,32.715786,84.629699,various,rural area,17,,daylight,60,5,2,1,high,0.8310778240170347,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,19,High,18-11-2017,Evening
a000028,12.983988,77.577688,karnataka,bengaluru,17,,daylight,120,1,2,1,high,-0.557168921,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Low,13-11-2024,Morning
a000029,17.363447,78.480297,telangana,hyderabad,19,,darkness - lights lit,100,1,0,0,medium,0.5291296466762057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Low,19-03-2024,Morning
a000030,23.060634,72.594526,gujarat,ahmedabad,16,,daylight,80,2,1,2,high,-0.008725617,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,Medium,14-06-2016,Morning
a000031,17.712107,83.18651,andhra pradesh,visakhapatnam,3,,darkness - lights lit,120,4,2,0,high,0.1321210735768195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Low,21-07-2023,Night
a000032,11.030682,76.924574,tamil nadu,coimbatore,10,,daylight,100,2,0,0,low,-1.558035169,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,Low,04-01-2021,Afternoon
a000033,21.126411,79.076093,maharashtra,nagpur,3,,darkness - lights lit,60,2,3,0,high,0.9643868129057286,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,High,17-07-2024,Night
a000034,17.795213,89.737771,various,rural area,11,,daylight,30,1,0,0,low,1.1628648237368906,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,Low,27-04-2020,Morning
a000035,21.194966,79.094957,maharashtra,nagpur,21,,darkness - lights lit,40,2,0,0,low,-1.710278165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,25-12-2025,Evening
a000036,12.981678,77.609432,karnataka,bengaluru,1,,darkness - lights lit,120,3,4,0,high,0.2622459138210326,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Low,25-05-2020,Evening
a000037,20.209135,77.04039,maharashtra,nagpur-pune corridor,17,,daylight,120,3,3,0,medium,-0.004334759,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,Medium,11-06-2016,Afternoon
a000038,21.269491,78.203336,west bengal,surat-kolkata corridor,7,,daylight,60,3,1,0,medium,-0.374452184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,Medium,17-02-2016,Evening
a000039,21.265659,76.120846,punjab,coimbatore-ludhiana corridor,20,,darkness - lights lit,100,3,2,0,high,-0.177184404,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,Medium,04-09-2020,Evening
a000040,25.597775,85.196804,bihar,patna,6,,daylight,60,1,3,0,medium,1.0769400404831544,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,High,05-10-2019,Afternoon
a000041,23.252312,77.416423,madhya pradesh,bhopal,6,,daylight,30,2,0,0,low,-1.564412119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,High,24-02-2021,Afternoon
a000042,19.195167,72.995385,maharashtra,thane,16,,daylight,80,1,2,0,medium,-1.209519555,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,Medium,03-05-2019,Evening
a000043,28.716147,77.151908,delhi,delhi,16,,daylight,60,3,2,0,medium,-0.338598728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,High,26-09-2024,Morning
a000044,22.608264,88.362661,west bengal,kolkata,4,,darkness - lights lit,60,1,3,0,low,0.2106391934810809,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,High,21-05-2021,Evening
a000045,25.593836,85.151142,bihar,patna,19,,darkness - lights lit,30,3,5,0,high,-0.402377706,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,High,26-01-2023,Afternoon
a000046,17.680861,83.232805,andhra pradesh,visakhapatnam,16,,daylight,100,2,1,0,high,0.5266746596887792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,Low,15-01-2016,Evening
a000047,21.241896,72.812968,gujarat,surat,19,,darkness - lights lit,60,4,2,0,medium,-0.229691597,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,02-04-2020,Night
a000048,17.091051,73.661653,tamil nadu,coimbatore-mumbai corridor,7,,daylight,80,3,1,0,high,0.9640298784760178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,04-12-2016,Afternoon
a000049,26.843728,75.830274,rajasthan,jaipur,9,,daylight,50,4,4,1,high,0.7381715862520322,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,25-01-2019,Night
a000050,13.800282,79.662393,tamil nadu,nagpur-chennai corridor,17,,daylight,60,3,1,0,low,-0.845963585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,25-12-2018,Afternoon
a000051,21.025605,72.816827,maharashtra,surat-mumbai corridor,8,,daylight,40,1,1,0,low,0.9124008395263892,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,27-09-2016,Morning
a000052,28.542201,68.667656,various,rural area,18,,darkness - lights lit,60,1,2,0,low,-0.032967963,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,-1,Medium,03-04-2019,Evening
a000053,26.859265,80.934521,uttar pradesh,lucknow,9,,daylight,120,3,2,1,high,0.7607211693000027,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,High,22-11-2024,Night
a000054,19.243516,72.976945,maharashtra,thane,16,,daylight,40,2,0,0,low,1.4370787974899628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,Medium,01-02-2017,Evening
a000055,22.552426,88.344247,west bengal,kolkata,14,,daylight,60,3,0,0,low,-0.927864912,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,High,03-07-2017,Night
a000056,10.999785,76.989667,tamil nadu,coimbatore,13,,daylight,100,2,5,0,high,0.2613157006100716,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Low,08-10-2021,Night
a000057,19.05114,72.905349,maharashtra,mumbai,21,,darkness - lights lit,40,4,0,0,low,0.2424410388690088,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,26-09-2025,Evening
a000058,22.743977,75.801279,madhya pradesh,indore,21,,darkness - lights lit,30,6,0,0,low,0.6817397971013346,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,25-05-2020,Evening
a000059,23.280565,77.426603,madhya pradesh,bhopal,5,,darkness - lights lit,60,3,1,1,high,-0.191116782,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,21-09-2023,Morning
a000060,25.065197,77.010791,gujarat,ahmedabad-delhi corridor,19,,darkness - lights lit,30,2,0,0,low,1.8506516443226044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,High,07-06-2021,Night
a000061,12.93085,77.580517,karnataka,bengaluru,17,,daylight,100,4,2,0,high,0.9154495681217252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Low,24-11-2019,Evening
a000062,12.944636,77.567311,karnataka,bengaluru,19,,darkness - lights lit,50,3,3,0,high,-1.411839566,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,Low,02-06-2017,Evening
a000063,23.129761,87.367643,punjab,kolkata-ludhiana corridor,19,,darkness - lights lit,40,2,0,0,low,0.8946040446768254,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,High,26-01-2024,Afternoon
a000064,26.91948,75.79428,rajasthan,jaipur,22,,darkness - lights lit,50,2,1,0,low,-0.525871896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,01-09-2019,Morning
a000065,25.584866,85.117833,bihar,patna,20,,darkness - lights lit,50,2,9,0,high,-0.137116237,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,04-05-2018,Morning
a000066,18.48287,73.934879,maharashtra,pune,9,,daylight,40,1,2,0,low,1.5569344595621342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,12-08-2019,Morning
a000067,17.727236,83.257422,andhra pradesh,visakhapatnam,10,,daylight,100,2,3,0,medium,-0.373557912,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Low,08-08-2021,Night
a000068,23.290204,77.406712,madhya pradesh,bhopal,11,,daylight,80,1,1,0,medium,-2.174415609,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,High,10-02-2022,Night
a000069,21.248131,72.811589,gujarat,surat,8,,daylight,80,3,3,0,medium,0.086500484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,Medium,16-05-2017,Evening
a000070,9.172618,71.17456,various,rural area,11,,daylight,60,2,5,0,high,-0.596562285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,14,Low,19-10-2023,Afternoon
a000071,19.546822,73.080767,maharashtra,nagpur-mumbai corridor,22,,darkness - lights lit,30,1,1,0,low,-0.432487727,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,08-09-2018,Evening
a000072,19.08109,72.87761,maharashtra,mumbai,21,,darkness - lights lit,50,1,4,0,high,0.4457454660218172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,Medium,11-12-2018,Morning
a000073,23.249092,75.892686,delhi,delhi-ahmedabad corridor,8,,daylight,100,1,1,0,medium,0.5448736865453861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,Medium,20-07-2023,Afternoon
a000074,9.599443,93.604282,various,rural area,14,,daylight,50,4,2,0,high,-0.455983761,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,-1,Low,11-09-2024,Evening
a000075,22.994652,72.589231,gujarat,ahmedabad,21,,darkness - lights lit,100,1,2,0,high,0.707035101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,Medium,29-01-2022,Afternoon
a000076,19.639311,73.993876,madhya pradesh,indore-pune corridor,10,,daylight,50,2,1,0,low,-1.345364893,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,01-04-2022,Morning
a000077,22.658436,75.685407,gujarat,vadodara-indore corridor,6,,daylight,40,1,3,0,low,-0.565465649,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,Medium,17-03-2025,Morning
a000078,25.575228,85.132543,bihar,patna,20,,darkness - lights lit,30,1,0,0,low,0.9188372476640584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,06-08-2023,Night
a000079,13.085369,80.305677,tamil nadu,chennai,20,,darkness - lights lit,40,1,2,0,low,0.057256891,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,14-09-2017,Afternoon
a000080,30.291362,95.971094,various,rural area,19,,darkness - lights lit,80,3,4,0,high,-0.657553788,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,-1,High,13-08-2023,Afternoon
a000081,25.58934,85.102001,bihar,patna,15,,daylight,50,3,0,0,low,0.6815481794114883,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,30-04-2019,Evening
a000082,28.715065,77.055108,delhi,delhi,7,,daylight,50,4,1,0,low,-0.686454004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,20-08-2017,Night
a000083,13.119155,80.292963,tamil nadu,chennai,22,,darkness - lights lit,40,1,1,0,low,0.677213087,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,07-02-2018,Evening
a000084,21.181302,79.068379,maharashtra,nagpur,22,,darkness - lights lit,30,1,1,1,medium,-0.675227558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,High,08-12-2018,Night
a000085,23.050079,72.587976,gujarat,ahmedabad,1,,darkness - lights lit,40,4,3,0,low,0.7257515048476721,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,Medium,11-08-2022,Night
a000086,11.036342,77.015096,tamil nadu,coimbatore,16,,daylight,60,1,3,0,medium,1.643988682218716,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,Low,23-04-2023,Morning
a000087,25.644246,85.131479,bihar,patna,21,,darkness - lights lit,100,1,3,0,high,-0.790177315,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,High,11-01-2016,Morning
a000088,21.129859,72.819995,gujarat,surat,20,,darkness - lights lit,40,5,2,0,medium,0.8761935858724486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,Medium,22-08-2020,Morning
a000089,21.209708,72.844279,gujarat,surat,18,,darkness - lights lit,100,2,4,0,high,-0.527292612,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,Medium,14-10-2025,Night
a000090,13.061589,80.266439,tamil nadu,chennai,12,,daylight,100,3,3,0,high,0.2265731728051476,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,Low,01-12-2021,Afternoon
a000091,10.974611,76.939221,tamil nadu,coimbatore,7,,daylight,60,3,2,0,medium,0.636345315,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,Low,08-10-2024,Morning
a000092,12.922498,77.630771,karnataka,bengaluru,15,,daylight,60,4,1,0,high,-1.06228559,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,12-07-2016,Morning
a000093,17.366284,78.470598,telangana,hyderabad,4,,darkness - lights lit,40,2,0,0,medium,-0.126370842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,Low,14-10-2024,Evening
a000094,23.082918,75.372513,various,rural area,14,,daylight,30,1,2,0,low,-0.934381463,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,14-04-2021,Morning
a000095,17.673047,83.200685,andhra pradesh,visakhapatnam,22,,darkness - lights lit,30,2,3,0,low,-1.361279137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,Low,08-02-2025,Night
a000096,23.615848,95.285385,various,rural area,20,,darkness - lights lit,30,1,4,0,medium,-0.46401598,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,-1,High,06-03-2022,Night
a000097,17.723496,83.239327,andhra pradesh,visakhapatnam,22,,darkness - lights lit,60,3,1,0,low,1.1128043256096187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,Low,13-01-2017,Morning
a000098,26.786113,80.978342,uttar pradesh,lucknow,15,,daylight,50,1,0,0,low,0.9685739127867364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,High,02-05-2016,Night
a000099,16.904531,76.790895,tamil nadu,coimbatore-indore corridor,21,,darkness - lights lit,100,2,2,0,medium,0.3131156242849304,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,Low,26-05-2024,Evening
a000100,18.512282,73.894555,maharashtra,pune,21,,darkness - lights lit,80,2,1,0,medium,-0.440079672,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,Medium,08-09-2023,Morning
a000101,11.032473,76.962005,tamil nadu,coimbatore,15,,daylight,120,4,2,0,medium,0.7583424876762803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Low,06-07-2025,Morning
a000102,22.53862,77.315144,maharashtra,nagpur-delhi corridor,20,,darkness - lights lit,40,1,3,0,medium,0.3349347432288929,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,08-11-2025,Afternoon
a000103,19.223595,72.986062,maharashtra,thane,15,,daylight,100,5,0,0,medium,0.8431189207222058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,Medium,26-01-2020,Morning
a000104,22.672119,77.541959,telangana,hyderabad-delhi corridor,7,,daylight,30,2,0,0,low,-0.462957316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,Medium,22-10-2023,Afternoon
a000105,12.915554,77.535376,karnataka,bengaluru,19,,darkness - lights lit,60,2,5,0,high,0.3648559855510585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Low,20-12-2020,Evening
a000106,23.059656,72.564952,gujarat,ahmedabad,18,,darkness - lights lit,60,3,0,0,low,-0.148154991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,Medium,24-08-2022,Afternoon
a000107,22.248666,73.162332,gujarat,vadodara,16,,daylight,80,2,2,0,medium,-2.17690602,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,Medium,08-10-2025,Afternoon
a000108,20.34705,79.093262,various,rural area,5,,darkness - lights lit,80,2,1,1,high,-0.410139356,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,Medium,25-01-2017,Night
a000109,30.863855,75.858046,punjab,ludhiana,2,,darkness - lights lit,100,2,1,0,medium,-0.780163284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,High,24-07-2022,Evening
a000110,23.715634,74.767516,punjab,vadodara-ludhiana corridor,11,,daylight,60,3,0,0,medium,0.2868464631174032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,Medium,15-12-2024,Morning
a000111,21.786702,76.325636,gujarat,nagpur-ahmedabad corridor,13,,daylight,30,3,4,0,high,-0.390699128,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,Medium,24-03-2016,Night
a000112,26.834338,80.955251,uttar pradesh,lucknow,16,,daylight,60,2,1,0,low,1.2431830494864615,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,High,18-02-2020,Morning
