accident_id,latitude,longitude,state,zone_name,hour,day_of_week,weather,light_condition,traffic_density,road_type,speed_limit,vehicles_involved,injuries_count,fatalities_count,accident_severity,random_noise_column
A000106,23.059656,72.564952,Gujarat,Ahmedabad,18,Thu,Clear,Darkness - lights lit,Medium,Urban Road,,3,0.0,0,Low,-0.14815499134364155
A000107,22.248666,73.162332,Gujarat,Vadodara,16,Tue,Clear,Daylight,Medium,Rural Road,80.0,2,2.0,0,Medium,-2.1769060201428614
A000108,20.34705,79.093262,Various,Rural Area,5,Fri,Overcast,Darkness - lights lit,Medium,National Highway,80.0,2,1.0,1,High,-0.41013935589026074
A000109,30.863855,75.858046,Punjab,Ludhiana,2,Mon,Clear,Darkness - lights lit,Medium,,100.0,2,,0,Medium,-0.7801632841179467
A000110,23.715634,74.767516,Punjab,Vadodara-Ludhiana Corridor,11,Wed,Clear,Daylight,Medium,State Highway,60.0,3,0.0,0,Medium,0.28684646311740325
A000111,21.786702,76.325636,Gujarat,Nagpur-Ahmedabad Corridor,13,Thu,Clear,Daylight,Low,Urban Road,30.0,3,4.0,0,High,-0.3906991280310391
A000112,26.834338,80.955251,Uttar Pradesh,Lucknow,16,Thu,Dust,Daylight,Medium,Rural Road,60.0,2,1.0,0,Low,1.2431830494864617
A000113,12.954722,77.576552,Karnataka,Bengaluru,13,Mon,Rain,Daylight,Medium,Urban Road,40.0,2,1.0,0,Low,-0.5465189124950699
A000114,30.946635,75.897748,Punjab,Ludhiana,7,Fri,Clear,Daylight,Low,National Highway,80.0,5,3.0,0,High,0.315375297631818
A000115,14.463087,71.880308,Various,Rural Area,11,Mon,Rain,Daylight,Low,Urban Road,50.0,1,3.0,0,Medium,0.49264695616288545
A000116,18.478762,73.833833,Maharashtra,Pune,17,Fri,Clear,Daylight,Medium,State Highway,80.0,1,5.0,1,High,-0.5519105679743143
A000117,22.586551,88.3689,West Bengal,Kolkata,20,Wed,Clear,Darkness - lights lit,High,State Highway,60.0,2,3.0,1,High,-0.39185954750391283
A000118,23.046086,72.815919,Madhya Pradesh,Ahmedabad-Bhopal Corridor,1,Tue,Rain,Darkness - lights lit,High,Urban Road,40.0,1,,0,Low,0.739494828282417
A000119,10.9845,76.902441,Tamil Nadu,Coimbatore,15,Sat,,Daylight,Medium,National Highway,,1,2.0,1,Medium,-0.8604805532375318
A000120,30.89466,75.853778,Punjab,Ludhiana,22,Sun,Clear,Darkness - lights lit,Medium,Rural Road,80.0,1,0.0,0,Medium,0.24410760169331028
A000121,21.539972,85.878492,Various,Rural Area,6,Fri,Clear,Daylight,Low,National Highway,80.0,1,2.0,0,Medium,0.7478819524700786
A000122,25.575539,82.385387,Various,Rural Area,0,Sat,Overcast,Darkness - lights lit,,Urban Road,50.0,2,1.0,1,Medium,-0.18638376732587325
A000123,26.807893,80.953224,Uttar Pradesh,Lucknow,2,Sat,RAIN,Darkness - lights lit,Medium,Urban Road,30.0,3,,0,Low,0.42038503955175005
A000124,22.559874,88.335696,West Bengal,Kolkata,11,Wed,Rain,Daylight,Medium,Urban Road,30.0,1,0.0,0,Low,0.48630243879973767
A000125,11.923301,79.58642,Tamil Nadu,Chennai-Coimbatore Corridor,19,Wed,Fog,Darkness - lights lit,Low,State Highway,80.0,3,7.0,2,High,-0.264924188923062
A000126,17.56646,77.481017,Various,Rural Area,6,Fri,Clear,Daylight,High,Rural Road,40.0,2,1.0,0,Low,-1.056288716492053
A000127,21.10003,79.126078,Maharashtra,Nagpur,19,Tue,Clear,Darkness - lights lit,High,Urban Road,50.0,2,3.0,0,Medium,1.6560154868212191
A000128,26.912189,75.826672,Rajasthan,Jaipur,3,Fri,Clear,Darkness - lights lit,Medium,State Highway,80.0,4,1.0,0,Medium,0.1147557430692947
A000129,26.957803,75.806224,Rajasthan,Jaipur,23,Sun,Dust,Darkness - lights lit,Medium,Urban Road,30.0,3,1.0,0,Low,-0.28874026770519345
A000130,12.956935,77.561011,Karnataka,Bengaluru,9,Sat,Clear,Daylight,High,National Highway,100.0,2,2.0,0,Medium,0.38306454859585404
A000131,27.236232,76.492026,Rajasthan,Jaipur-Delhi Corridor,5,Wed,Clear,Darkness - lights lit,Medium,Urban Road,30.0,3,,0,Low,-0.5900288855958353
A000132,26.909395,75.78119,Rajasthan,Jaipur,8,Tue,Clear,Daylight,Medium,Rural Road,80.0,2,1.0,0,Medium,0.4469161325329355
A000133,21.173249,72.797169,Gujarat,Surat,11,Fri,Clear,Daylight,Low,Rural Road,80.0,5,3.0,0,Medium,-0.024912804969582092
A000134,25.554105,85.210044,Bihar,Patna,23,Fri,Rain,Darkness - lights lit,Low,State Highway,60.0,1,0.0,0,Low,0.3955622431192872
A000135,13.052225,80.27255,Tamil Nadu,Chennai,20,Mon,Rain,Darkness - lights lit,Medium,National Highway,120.0,2,1.0,0,Medium,0.5531818443728351
A000136,18.629742,84.331684,West Bengal,Kolkata-Coimbatore Corridor,15,Sun,Clear,Daylight,,Urban Road,40.0,2,1.0,0,Medium,1.6745155711353306
A000137,22.31088,73.22994,Gujarat,Vadodara,7,Fri,Fog,Daylight,High,Rural Road,40.0,1,2.0,0,Low,-1.4052860769646818
A000138,25.5966,85.164039,Bihar,Patna,14,Tue,Clear,Daylight,High,Urban Road,30.0,4,0.0,0,Low,0.2791126896389751
A000139,26.882344,80.962302,Uttar Pradesh,Lucknow,11,Wed,Dust,Daylight,Low,Urban Road,30.0,3,4.0,0,High,-0.0448831071241281
A000140,21.611443,75.986479,Madhya Pradesh,Bhopal-Pune Corridor,3,Sat,Fog,Darkness - lights lit,Medium,Urban Road,30.0,5,1.0,0,Low,-0.15680244821929643
A000141,23.295522,77.490287,Madhya Pradesh,Bhopal,19,Sun,Fog,Darkness - lights lit,High,National Highway,120.0,1,6.0,0,High,-0.012288424193618818
A000142,25.579149,85.167381,Bihar,Patna,6,Fri,clear,Daylight,Low,Urban Road,50.0,1,0.0,0,Low,0.7719656889570619
A000143,22.609115,88.409539,West Bengal,Kolkata,9,Tue,Rain,Daylight,High,State Highway,60.0,2,2.0,0,Medium,-0.01139523301871668
A000144,19.22448,82.80132,Telangana,Hyderabad-Patna Corridor,18,Tue,Clear,Darkness - lights lit,Medium,State Highway,100.0,1,6.0,0,Medium,0.5021915713448302
A000145,21.116811,79.092704,Maharashtra,Nagpur,12,Sun,Clear,Daylight,Medium,Rural Road,60.0,3,0.0,0,Low,-1.4977078420434984
A000146,15.280971,92.891909,Various,Rural Area,8,Sun,Dust,Daylight,Medium,Urban Road,50.0,1,5.0,1,High,0.6406249815687672
A000147,22.965944,72.562512,Gujarat,Ahmedabad,16,Wed,Clear,Daylight,Medium,State Highway,60.0,1,5.0,0,High,1.4226148354220962
A000148,13.245828,80.516395,Tamil Nadu,Chennai-Visakhapatnam Corridor,20,Sun,,Darkness - lights lit,Low,National Highway,100.0,6,1.0,0,Medium,-0.0955842554942652
A000149,23.018377,72.599986,Gujarat,Ahmedabad,17,Tue,Rain,Daylight,High,Urban Road,40.0,1,0.0,0,Low,0.27181429419394854
A000150,23.272627,77.4169,Madhya Pradesh,Bhopal,17,Wed,Rain,Daylight,High,Urban Road,30.0,1,0.0,0,Low,-0.21132351715464553
A000151,23.009621,72.550627,Gujarat,Ahmedabad,23,Mon,Clear,Darkness - lights lit,Low,State Highway,100.0,2,1.0,0,Medium,0.27392809904478027
A000152,18.552934,73.839374,Maharashtra,Pune,16,Thu,Clear,Daylight,High,State Highway,80.0,2,0.0,0,Medium,-0.2701399870611329
A000153,26.911843,75.819584,Rajasthan,Jaipur,18,Sun,Overcast,Darkness - lights lit,Medium,National Highway,80.0,2,3.0,0,Medium,0.16805363744304336
A000154,29.351155,68.045388,Various,Rural Area,17,Sun,Clear,Daylight,Low,State Highway,80.0,3,2.0,0,Medium,1.4553366321479442
A000155,19.494042,77.121683,Maharashtra,Bhopal-Thane Corridor,18,Sat,Rain,Darkness - lights lit,Medium,State Highway,100.0,1,6.0,0,High,-0.05965477088771674
A000156,21.144803,79.081956,Maharashtra,Nagpur,8,Mon,RAIN,Daylight,,Urban Road,30.0,1,0.0,0,Low,0.09827133750462352
A000157,26.926529,75.812668,Rajasthan,Jaipur,12,Tue,Rain,Daylight,Medium,State Highway,100.0,4,4.0,0,High,1.9331104718294136
A000158,26.882796,75.831761,Rajasthan,Jaipur,6,Mon,Clear,Daylight,High,National Highway,80.0,2,1.0,0,Low,0.18799532237720076
A000159,30.850497,75.833124,Punjab,Ludhiana,18,Thu,Rain,Darkness - lights lit,Medium,State Highway,80.0,4,0.0,0,Medium,1.7700944480227947
A000160,17.989375,69.130884,Various,Rural Area,1,Sat,Clear,Darkness - lights lit,Low,National Highway,100.0,3,4.0,1,High,0.046693325100345656
A000161,25.590881,85.151032,Bihar,Patna,10,Fri,Clear,Daylight,Low,Urban Road,50.0,3,,0,High,0.08875607630737781
A000162,13.023321,80.293137,Tamil Nadu,Chennai,16,Thu,Clear,Daylight,Medium,State Highway,100.0,2,5.0,0,High,-1.0740508082891813
A000163,18.474664,73.863928,Maharashtra,Pune,22,Wed,Dust,Darkness - lights lit,Medium,Urban Road,30.0,2,0.0,0,Medium,1.8020340173849556
A000164,25.590361,85.102422,Bihar,Patna,23,Mon,Clear,Darkness - lights lit,Medium,,80.0,2,1.0,0,Low,-1.6331576519687625
A000165,11.048482,76.962497,Tamil Nadu,Coimbatore,23,Sat,Clear,Darkness - lights lit,Medium,Urban Road,50.0,3,1.0,0,Low,0.1364829243170848
A000166,18.809655,75.721925,Madhya Pradesh,Pune-Bhopal Corridor,17,Mon,Dust,Daylight,Medium,National Highway,120.0,4,2.0,0,Medium,0.5531598831209346
A000167,8.230445,96.936805,Various,Rural Area,18,Wed,Rain,Darkness - lights lit,Low,State Highway,100.0,4,5.0,0,High,0.33010988515050377
A000168,21.096592,79.039223,Maharashtra,Nagpur,2,Sat,Clear,Darkness - lights lit,High,National Highway,80.0,2,2.0,0,High,1.4249903311063254
A000169,24.53186,74.791625,Maharashtra,Lucknow-Thane Corridor,8,Sat,Rain,Daylight,Medium,Rural Road,60.0,3,2.0,0,Low,-0.9375417162393999
A000170,21.055215,79.093715,Maharashtra,Nagpur,16,Thu,Rain,Daylight,Medium,National Highway,120.0,1,4.0,1,High,-0.43065199740144133
A000171,26.825859,80.933922,Uttar Pradesh,Lucknow,17,Fri,Clear,Daylight,Medium,Urban Road,30.0,1,0.0,0,Low,0.16241030417738878
A000172,18.494647,73.890468,Maharashtra,Pune,4,Thu,Clear,Darkness - lights lit,High,State Highway,100.0,3,3.0,0,Medium,1.1707640058781073
A000173,17.733863,83.178657,Andhra Pradesh,Visakhapatnam,18,Sat,Clear,Darkness - lights lit,High,National Highway,120.0,6,2.0,0,Medium,-0.38880164903308095
A000174,21.01043,80.549145,Various,Rural Area,12,Tue,Clear,Daylight,Low,State Highway,100.0,1,5.0,1,High,-1.2765981871605345
A000175,22.260587,73.205737,Gujarat,Vadodara,5,Wed,Rain,Darkness - lights lit,Medium,Urban Road,,3,1.0,0,Low,-1.294774635026287
A000176,11.018028,76.925734,Tamil Nadu,Coimbatore,8,Sun,Rain,Daylight,Medium,National Highway,80.0,2,0.0,0,Low,-0.18001998484361958
